0.000000, 1.000000, 1.000000, 0.000000
104.058273, 0.987077, 0.916938, 0.000000
416.233091, 0.949301, 0.706904, 0.000000
936.524454, 0.889527, 0.458206, 0.000000
1664.932362, 0.812112, 0.249713, 0.000000
2601.456816, 0.722396, 0.114420, 0.000000
3746.097815, 0.626089, 0.044080, 0.000000
5098.855359, 0.528688, 0.014278, 0.000000
6659.729448, 0.434975, 0.003888, 0.000000
8428.720083, 0.348684, 0.000890, 0.000000
10405.827263, 0.272333, 0.000171, 0.027055
12591.050989, 0.207239, 0.000028, 0.172737
14984.391259, 0.153654, 0.000004, 0.332293
17585.848075, 0.110999, 0.000000, 0.505723
20395.421436, 0.078126, 0.000000, 0.693028
23413.111342, 0.053577, 0.000000, 0.894207
26638.917794, 0.035798, 0.000000, 0.890739
30072.840791, 0.023305, 0.000000, 0.661811
33714.880333, 0.014782, 0.000000, 0.419008
37565.036420, 0.009135, 0.000000, 0.162331
41623.309053, 0.005501, 0.000000, 0.000000
45889.698231, 0.003227, 0.000000, 0.000000
50364.203954, 0.001845, 0.000000, 0.000000
55046.826223, 0.001027, 0.000000, 0.000000
59937.565036, 0.000557, 0.000000, 0.000000
65036.420395, 0.000295, 0.000000, 0.000000
70343.392300, 0.000152, 0.000000, 0.000000
75858.480749, 0.000076, 0.000000, 0.000000
81581.685744, 0.000037, 0.000000, 0.000000
87513.007284, 0.000018, 0.000000, 0.000000
93652.445369, 0.000008, 0.000000, 0.000000
100000.000000, 0.000004, 0.000000, 0.000000
